[14-Jul-2014 06:21:51 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:21:52 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:21:52 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:21:52 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:21:53 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:21:53 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:21:53 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:21:53 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:22:56 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:23:46 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:23:48 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:23:48 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:23:48 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:23:49 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:23:49 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:26:20 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:26:22 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:36:28 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:37:49 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:39:45 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:39:47 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:39:48 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:39:49 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:39:49 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:39:49 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:39:49 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:39:50 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:39:50 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:39:51 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:40:42 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:43:44 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:44:40 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:45:45 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:57:22 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:57:23 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:57:23 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:57:24 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:57:24 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:57:24 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:57:25 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:57:26 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:57:26 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
[14-Jul-2014 06:57:26 Europe/Berlin] PHP Fatal error:  Call to undefined method Vehiculo::buscarRegistroVehiculo() in C:\xampp\htdocs\stop\controlador\fachada.php on line 37
